deltax is 0.0314159
When a6 = -1.07
alpha        Kr        Ki        
2.626    1.301    1.21
2.633    1.307    1.199
2.639    1.314    1.187
2.645    1.32    1.176
2.652    1.326    1.165
2.658    1.333    1.153
2.664    1.339    1.141
2.67    1.345    1.129
2.677    1.351    1.117
2.683    1.357    1.105
2.689    1.363    1.093
2.695    1.369    1.081
2.702    1.374    1.068
2.708    1.38    1.056
2.714    1.386    1.043
2.721    1.392    1.031
2.727    1.397    1.018
2.733    1.403    1.005
2.739    1.408    0.9917
2.746    1.413    0.9785
2.752    1.419    0.9652
2.758    1.424    0.9519
2.765    1.429    0.9384
2.771    1.434    0.9248
2.777    1.439    0.9111
2.783    1.444    0.8974
2.79    1.449    0.8835
2.796    1.454    0.8695
2.802    1.459    0.8555
2.809    1.463    0.8413
2.815    1.468    0.8271
2.821    1.473    0.8127
2.827    1.477    0.7983
2.834    1.481    0.7838
2.84    1.486    0.7692
2.846    1.49    0.7545
2.853    1.494    0.7398
2.859    1.498    0.7249
2.865    1.502    0.71
2.871    1.506    0.695
2.878    1.51    0.6799
2.884    1.514    0.6648
2.89    1.517    0.6496
2.897    1.521    0.6343
2.903    1.524    0.6189
2.909    1.528    0.6035
2.915    1.531    0.588
2.922    1.534    0.5724
2.928    1.537    0.5568
2.934    1.54    0.5411
2.941    1.543    0.5253
2.947    1.546    0.5095
2.953    1.549    0.4937
2.959    1.552    0.4777
2.966    1.554    0.4618
2.972    1.557    0.4457
2.978    1.559    0.4296
2.985    1.562    0.4135
2.991    1.564    0.3973
2.997    1.566    0.3811
3.003    1.568    0.3649
3.01    1.57    0.3486
3.016    1.572    0.3322
3.022    1.574    0.3158
3.028    1.576    0.2994
3.035    1.577    0.283
3.041    1.579    0.2665
3.047    1.58    0.25
3.054    1.582    0.2335
3.06    1.583    0.2169
3.066    1.584    0.2003
3.072    1.585    0.1837
3.079    1.586    0.1671
3.085    1.587    0.1504
3.091    1.588    0.1337
3.098    1.589    0.1171
3.104    1.589    0.1004
3.11    1.59    0.08365
3.116    1.59    0.06693
3.123    1.591    0.0502
3.129    1.591    0.03347
3.135    1.591    0.01674
3.142    1.591    -7.415e-14
3.148    1.591    -0.01674
3.154    1.591    -0.03347
3.16    1.591    -0.0502
3.167    1.59    -0.06693
3.173    1.59    -0.08365
3.179    1.589    -0.1004
3.186    1.589    -0.1171
3.192    1.588    -0.1337
3.198    1.587    -0.1504
3.204    1.586    -0.1671
3.211    1.585    -0.1837
3.217    1.584    -0.2003
3.223    1.583    -0.2169
3.23    1.582    -0.2335
3.236    1.58    -0.25
3.242    1.579    -0.2665
3.248    1.577    -0.283
3.255    1.576    -0.2994
3.261    1.574    -0.3158
3.267    1.572    -0.3322
3.274    1.57    -0.3486
3.28    1.568    -0.3649
3.286    1.566    -0.3811
3.292    1.564    -0.3973
3.299    1.562    -0.4135
3.305    1.559    -0.4296
3.311    1.557    -0.4457
3.318    1.554    -0.4618
3.324    1.552    -0.4777
3.33    1.549    -0.4937
3.336    1.546    -0.5095
3.343    1.543    -0.5253
3.349    1.54    -0.5411
3.355    1.537    -0.5568
3.362    1.534    -0.5724
3.368    1.531    -0.588
3.374    1.528    -0.6035
3.38    1.524    -0.6189
3.387    1.521    -0.6343
3.393    1.517    -0.6496
3.399    1.514    -0.6648
3.405    1.51    -0.6799
3.412    1.506    -0.695
3.418    1.502    -0.71
3.424    1.498    -0.7249
3.431    1.494    -0.7398
3.437    1.49    -0.7545
3.443    1.486    -0.7692
3.449    1.481    -0.7838
3.456    1.477    -0.7983
3.462    1.473    -0.8127
3.468    1.468    -0.8271
3.475    1.463    -0.8413
3.481    1.459    -0.8555
3.487    1.454    -0.8695
3.493    1.449    -0.8835
